Ｆ＠ｂｉｏｌа		割と弱い人		#Aren		応龍.		み(o･ｪ･o)ぃ		あとれい選手		期待の新人ﾊｹﾞﾏﾝﾄ		[2]..Althea		[1]Lolicom		ぁ(o･ｪ･o)み		PandaY		弱弱しい人		Winty		#AvengerｴAyza		んま！		Aｌies〆		DSNK.fmt		ポヨﾉ_･｡)		たかのゆか		むぅくん☆`		#Chi		Jarvis!!		みかん｜ななシ		ロングピース伊藤		[7]Fox		-Glamb		Revo#Aria”		苺【RV2】Yogurt		Panigale		小悪魔らんこ		堕天使*ﾙｼﾌｧｰ		ARCtroopers		゜+.Mashiro.+゜		oあいむo		Glanz`		SPEAK!		[3]Axis		
5	12	7	14	14	12	25	9	0	13	3	10	0	0	0	0	0	0	6	13	6	13	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	11	11	0	0	0	0	8	9	0	0	0	0	0	0	0	0	
8	13	5	14	17	11	20	11	5	9	0	3	0	0					4	11	8	10	5	12			0	0	0	0																	0	0			9	10							15	8	0	0	0	0	0	5	0	0	0	0					
16	8	6	9	18	7	11	9	6	14	13	9							1	12	10	11	8	10																							0	0			12	2							13	14					3	12									
13	8	5	15	10	7	17	10	3	13	15	7							2	15	16	4	8	6																							0	0			15	6							2	11					5	13									
4	8	7	12	1	3	15	7	3	13	16	8							5	14	8	7	9	11																							0	0			8	12							4	13					7	10									
12	12	6	12	11	10	10	8	2	3	8	13							6	14	11	13	15	14																							0	0			8	13																							
12	11	5	11	11	11	10	7	4	8	15	11							4	10	8	8	11	5																							0	0			18	9																							
12	11	12	9	6	11	15	12	2	13	17	12							2	13	14	8	8	8																							0	0			19	13																							
12	11	10	10	9	8	13	10	6	12	14	12							4	14	11	7	12	10																							0	0			13	10																							
8	8	10	11	13	7	15	9	4	6	12	10							3	14	12	12	11	12																							0	0			12	5																							
17	7	8	6	5	11	12	9			10	3							7	15	9	8	13	6																							0	0			8	9																							
7	13	4	10	15	5	20	6			13	10							1	15	9	13	11	11																							0	0			8	10																							
7	4	5	13	5	9	10	12			8	11							4	18	8	12	15	8																							0	0			12	11																							
12	10	11	14	16	7	13	4			7	10							4	11	21	7	12	11																											6	11																							
13	10	7	8	11	12	17	10			3	10							9	5	10	10	17	9																											7	11																							
12	10	6	11	8	5	11	6			8	14							3	4	10	7	4	14																											9	13																							
10	15	10	11	17	12	18	11			14	11							0	13	10	8	16	10																											10	11																							
8	13	6	13	5	6	16	8			11	12							2	15			11	9																											15	6																							
9	8	6	12	9	4	12	12			10	8							2	11			15	12																											11	6																							
14	12	6	13	10	6	21	9			13	13							5	10			12	10																											12	16																							
6	3	4	9	10	10	10	13			9	11							3	10			25	10																											8	14																							
6	7	5	13	11	13	16	14			17	11							2	12			14	11																											18	8																							
14	11	17	9	14	8	9	5			13	11							4	10			10	11																											18	8																							
10	14	5	15	18	10	10	12			10	16							7	11			21	11																											16	8																							
7	3	9	11	4	8	23	12			17	12							3	9			15	12																											14	7																							
12	13	5	10	6	12	17	3			10	6							4	8			10	10																											18	5																							
9	9	5	12	9	7	8	12			6	10							5	9			9	9																											17	12																							
4	5	6	14	9	8	12	13			3	4							5	14			11	9																											10	12																							
6	8	4	6	15	11	9	12			9	7							3	16			18	13																											5	13																							
7	7	4	16	8	3	10	13			12	11							1	6			14	3																											13	10																							
7	7	5	9	8	10	16	11			16	11							4	8			7	10																											9	7																							
9	12	9	11	15	13	15	7			7	6							2	14			9	14																											15	12																							
7	7	6	10	10	9	7	9			22	2							2	9			13	13																											15	3																							
15	5	9	9	11	12	10	11			1	5							9	15			8	9																											6	11																							
16	9	3	10	9	11	15	12			2	12							5	15			9	9																											9	13																							
11	9	12	10	7	15	19	14			13	10							4	16			9	7																											14	2																							
13	11	7	16	15	10	15	11			8	11							3	14			16	14																											11	9																							
13	10			14	10	8	8			13	13							2	12			9	8																											12	15																							
5	6			16	10	12	12			11	8											11	12																											15	10																							
10	15			21	11	16	7			5	7											9	12																											19	8																							
7	10			18	12	12	9			9	9											5	3																											18	12																							
13	13			19	7	14	4			12	10											18	6																											15	5																							
14	11			7	11	13	11			10	14											9	11																											16	13																							
5	10			4	12	3	10			22	12											0	1																											16	9																							
				13	8	7	15			8	11											9	4																											6	11																							
				9	14	9	12			8	7											13	11																											16	13																							
				20	7	16	8			17	10											14	11																																																			
				12	7	19	7			6	11											23	11																																																			
				8	8	3	12			10	9											17	14																																																			
				6	8	11	12			8	3											8	10																																																			
				14	13	13	13			10	11											15	5																																																			
				20	8	15	8			6	10											8	9																																																			
				13	12	9	9			11	14											11	11																																																			
				11	6	8	9			3	12											3	15																																																			
				13	7	12	10			9	6											10	12																																																			
				8	8	21	11			7	6											7	12																																																			
				10	5	13	9			12	9											9	6																																																			
				9	7	10	8			14	8											8	9																																																			
				9	10	19	8			11	4											17	9																																																			
				6	11	7	8			7	11											14	6																																																			
				11	13	11	16			15	9											10	6																																																			
				8	11	8	10			6	4											7	12																																																			
				11	7	14	6			10	5											5	10																																																			
				13	5	11	13			2	4											15	12																																																			
				8	11	19	8			12	12											11	12																																																			
				20	9	9	13			14	14											9	7																																																			
				9	8	15	11			7	11											8	4																																																			
				9	2	13	6			7	11											7	14																																																			
				10	12	13	12			10	8											6	7																																																			
				13	7	9	2			11	10											12	3																																																			
				8	5	13	9			12	11											13	12																																																			
				9	3	16	13			12	6											9	11																																																			
				4	1	21	10			10	8											6	3																																																			
				9	13	18	7			12	2											7	8																																																			
				14	15	22	12			15	8											6	0																																																			
				13	5	14	12			14	7											13	13																																																			
				20	5	9	13			7	15											19	14																																																			
				5	6	20	12			11	5											16	3																																																			
				13	8	12	6			11	8											15	7																																																			
				15	7	21	12			12	7											10	8																																																			
				13	5	17	8			19	12											6	11																																																			
				8	6	5	12			6	7											21	10																																																			
				11	6	14	9			10	3											10	8																																																			
				14	6	19	10			16	8											7	10																																																			
				23	13	20	8			13	8											5	5																																																			
				11	11					12	11											15	10																																																			
				13	5					12	10											9	6																																																			
				22	13					9	7											19	6																																																			
				11	8					10	13											8	12																																																			
				11	13					7	5											16	4																																																			
				14	10					8	12											10	9																																																			
				5	10					12	7											11	7																																																			
				0	2					15	13											19	12																																																			
				5	3					10	10											13	6																																																			
				10	7					11	9											9	7																																																			
				11	14					7	6											19	12																																																			
				4	12					4	13											9	9																																																			
				10	9					9	11											10	11																																																			
				12	13					9	14											14	10																																																			
				10	13					12	11											4	7																																																			
				19	10					14	5											11	12																																																			
				10	11					8	12											14	1																																																			
				10	8					11	12											7	8																																																			
				19	11					9	9											16	14																																																			
				14	10					11	9											10	11																																																			
				10	11					11	9											12	4																																																			
				11	9					16	7											15	13																																																			
				8	11					15	9																																																															
				4	3					15	8																																																															
				7	8					16	9																																																															
				16	5																																																																					
				11	11																																																																					
				8	12																																																																					
